lon,lat,time
20.324203314238584,47.452252108279964,09:26:27.7572196Z
19.78480214886658,46.03203472708659,09:26:51.6399785Z
19.269078948819455,44.613987425589116,09:27:15.5233204Z
18.771056693958986,43.18967057284308,09:27:39.4073479Z
18.292051574636663,41.76365289761343,09:28:03.2921967Z
17.829321026573766,40.335945714120385,09:28:27.1778445Z
17.38142220129142,38.9067812384578,09:28:51.0643526Z
15.326398812911483,31.745744567019447,09:30:50.5112270Z
14.944940037173513,30.309327986339262,09:31:14.4033832Z
14.5716268902049,28.872134709865215,09:31:38.2967498Z
14.205580844731934,27.433969949657676,09:32:02.1911382Z
13.847393499408172,25.999255673046395,09:32:26.0865263Z
13.494401610360116,24.55954229171739,09:32:49.9832042Z
13.147017829978761,23.11889753335914,09:33:13.8808946Z
12.804976058861117,21.677901786685755,09:33:37.7796041Z
12.467532159623124,20.236082838885466,09:34:01.6796671Z
12.134428024899794,18.793721680932205,09:34:25.5809508Z
11.805469149901697,17.350941801588966,09:34:49.4833223Z
11.480097773645996,15.907775743150019,09:35:13.3869948Z
11.156780049902759,14.459590033896438,09:35:37.2918579Z
10.83727691634639,13.01533454609286,09:36:01.1979737Z
10.520402204778357,11.571278281770455,09:36:25.1053532Z
10.20592312492655,10.126675759151949,09:36:49.0141324Z
9.892669299756422,8.681689845852043,09:37:12.9241845Z
9.581063232292234,7.2367568510143245,09:37:36.8355896Z
9.271011692553515,5.791551330467154,09:38:00.7484099Z
8.962865039828804,4.346218083839192,09:38:24.6624948Z
8.654049934887599,2.896735947821557,09:38:48.5780669Z
-0.5490440638169195,55.914101100206466,11:02:57.5462898Z
-1.2817486003310385,54.50998603783686,11:03:21.4247517Z
-3.2443080387615955,50.28366484333736,11:04:33.0638570Z
-3.833868692096402,48.86798896721457,11:04:56.9448703Z
-4.3958581096048315,47.45402791834858,11:05:20.8265339Z
-5.94975614712114,43.18713658789647,11:06:32.4762023Z
-6.427882647674302,41.76524670131858,11:06:56.3609732Z
-6.89061929802901,40.337583487033164,11:07:20.2465316Z
-7.338515739760553,38.90841707529083,11:07:44.1330860Z
-7.772638853576261,37.47790633637413,11:08:08.0203911Z
-9.003570386336344,33.18300006508316,11:09:19.6878759Z
-9.39435287774314,31.747475756744848,11:09:43.5790065Z
-9.776147366537728,30.311128256137504,11:10:07.4710247Z
-10.149105287840609,28.873590585128294,11:10:31.3641480Z
-10.515212249728984,27.435533875502568,11:10:55.2582416Z
-10.874396958108393,25.996257734539768,11:11:19.1534495Z
-11.227356332489272,24.55659538428242,11:11:43.0495765Z
-11.57470545447583,23.115976832725398,11:12:06.9469838Z
-11.916891339272834,21.674886063806024,11:12:30.8454796Z
-12.254413970918415,20.232952880288916,11:12:54.7451199Z
-12.587340027602394,18.79089591075992,11:13:18.6459044Z
-12.916336861283902,17.347870566306057,11:13:42.5477845Z
-13.241757516886363,15.904696127436312,11:14:06.4511890Z
